node,hyperedge
4,0
3,0
15,0
12,0
8,0
11,0
6,0
7,0
16,0
18,0
5,0
2,0
14,0
9,0
13,0
10,0
17,0
1,0
23,1
28,1
37,1
33,1
29,1
15,1
36,1
32,1
26,1
22,1
21,1
30,1
20,1
19,1
27,1
5,1
42,1
41,1
24,1
38,1
35,1
14,1
31,1
40,1
25,1
9,1
39,1
34,1
1,1
57,2
54,2
47,2
56,2
43,2
59,2
60,2
51,2
46,2
61,2
50,2
58,2
45,2
19,2
52,2
49,2
44,2
55,2
53,2
62,2
48,2
23,3
65,3
36,3
72,3
34,3
61,3
68,3
63,3
64,3
30,3
67,3
49,3
41,3
70,3
38,3
71,3
39,3
69,3
66,3
57,4
23,4
65,4
37,4
36,4
26,4
68,4
63,4
6,4
64,4
21,4
30,4
18,4
73,4
38,4
44,4
40,4
74,4
39,4
75,4
22,4
84,5
57,5
75,5
56,5
33,5
79,5
77,5
83,5
51,5
82,5
76,5
21,5
78,5
20,5
67,5
81,5
42,5
44,5
40,5
62,5
80,5
66,5
84,6
57,6
37,6
47,6
86,6
87,6
36,6
32,6
85,6
76,6
22,6
6,6
90,6
16,6
88,6
49,6
89,6
35,6
25,6
71,6
69,6
28,7
54,7
59,7
60,7
95,7
8,7
26,7
61,7
68,7
50,7
97,7
52,7
94,7
91,7
92,7
96,7
93,7
3,8
79,8
95,8
12,8
77,8
8,8
72,8
82,8
85,8
63,8
6,8
7,8
97,8
18,8
81,8
2,8
89,8
91,8
92,8
98,8
78,8
65,9
101,9
83,9
51,9
11,9
99,9
102,9
90,9
64,9
73,9
88,9
100,9
94,9
91,9
74,9
62,9
13,9
10,9
17,9
66,9
45,10
23,10
43,10
52,10
56,10
33,10
2,10
86,10
72,10
14,10
55,10
71,10
80,10
48,10
4,11
29,11
83,11
46,11
73,11
18,11
100,11
70,11
24,11
35,11
55,11
31,11
96,11
53,11
74,11
93,11
98,11
1,11
65,12
47,12
101,12
87,12
46,12
99,12
102,12
73,12
27,12
97,12
5,12
94,12
53,12
93,12
75,12
98,12
58,12
65,13
54,13
33,13
15,13
12,13
32,13
99,13
76,13
20,13
19,13
88,13
24,13
91,13
14,13
31,13
13,13
43,14
4,14
95,14
29,14
60,14
83,14
87,14
26,14
45,14
5,14
52,14
42,14
41,14
70,14
89,14
62,14
94,14
25,14
71,14
39,14
17,14
66,14
7,15
86,15
24,15
77,15
35,15
92,15
96,15
53,15
102,15
50,15
69,15
90,15
84,16
